No.,NAMA PERUSAHAAN,ALAMAT PERUSAHAAN,TK PRIA,TK WANITA,TOTAL TK,JENIS USAHA
1,PDAM Kota Malang,Jl. Ters. D. Sentani 100,295,98,393,Air
2,Perum Jasa Tirta 1,Jl. Surabaya 2A,106,36,142,Air
3,"Sang Hyang Sri, PT.",Jl. Ciliwung 25,23,9,32,Perdagangan/ Pertanian
4,"Tiara Persada Raya, PT.",Jl. Raya Dieng 3 Kav. 5,9,8,17,Angkutan
5,"Pelita Mas, PO.",Jl. S. Supriyadi 25,4,4,8,Angkutan/ Otobus
6,"Gunung Harta, PO.",Jl. Pattimura 45,8,3,11,Angkutan/ PO
7,"Medali Mas, PO.",Jl. Pasar Besar 149 Garasi Jl. Taman Tenaga Baru IV/9,19,2,21,Angkutan/ PO
8,"Puspa Indah, PO.",Jl. Tlogomas 1,56,5,61,Angkutan/ PO
9,"Restu Mulya, PO.",Jl. Dr. Cipto 452,3,0,3,Angkutan/ PO
10,"Mandala Satata Gama, PT.",Jl. Simp. Panji Suroso 18,19,2,21,Angkutan/ Taxi
11,PT. Bringin Dirgantara,Jl. Sumbing No. 28,73,4,77,Angkutan
12,Ekspres,Jl. Cidanau No.35,102,2,104,Angkutan
13,"Pancanaka Swasakti Utama, PT.",Jl. Mahakam 8,296,84,380,Bangunan
14,"PP(Persero) Tbk, PT",Jl.Soekarno Hatta 9,30,4,34,Bangunan
15,"Kharisma Hasta Buana/ Gajahmada Plaza, PT.",Jl. K. H. Agussalim 48,65,5,70,Bangunan Gedung
16,"Anugerah Citra Abadi, PT.",Jl. Jagung Suprapto 37,35,5,40,Bangunan/ Konstruksi
17,"Buana Karya Adi Mandiri, PT.",Jl. Raya Permata Jingga I/1,43,5,48,Bangunan/ Konstruksi
18,"Citra Mandiri Cipta, PT.",Jl. RP. Suroso,91,0,91,Bangunan/ Konstruksi
19,"Sumber Kencana Perkasa, PT.",Jl. Semeru 52,20,14,34,Bangunan/ Konstruksi
20,"Anindo Bertahanuts Perkasa, PT.",Jl. Danau Toba B-19,18,3,21,Bangunan/ Kontraktor
21,"Araya Bumi Megah, PT.",Jl. Blimbing Indah Megah No. 1,154,32,186,Bangunan/ Kontraktor
22,"Ayodya Jaya, PT.",Jl. Lahor 5,24,4,28,Bangunan/ Kontraktor
23,"Bukit Dieng Permai, PT",Jl. Bukit Dieng 3,4,1,5,Bangunan/ Kontraktor
24,"Ciptojoyo Kawentar, PT.",Jl. Soekarno Hatta Blok 8,368,21,389,Bangunan/ Kontraktor
25,"Citra Gading Asritama, PT.",Jl. Soekarno Hatta,139,0,139,Bangunan/ Kontraktor
26,"Duta Perkasa Unggul Lestari, PT.",Jl. Langsep,0,0,0,Bangunan/ Kontraktor
27,"Ekaargo Kencana Perkasa, PT.",Jl. Semeru 52,57,10,67,Bangunan/ Kontraktor
28,PAM Sari Jaya,Jl. A. Yani,16,18,34,Bangunan/ Kontraktor
29,A. Surya Sejahtera Abadi,Jl. M. Sungkono RT 2 RW 2,3,72,75,3/Industri/ Perusahaan Rokok
30,"Artha Wewasakti Gemilang, PT.",Jl. A. Yani Utara 32,9,0,9,Industri
31,Bagio S,Jl. Talaud 3 (0341) 327973,3,4,7,Industri
32,Bell Elastik,Jl. Janti Barat 17,15,1,16,Industri
33,"Dinnura Inti Laksana Megah, PT.",Jl. Kebonsari VI/8,5,4,9,Industri
34,Gaya Baru Paperindo,Jl. Kolonel Sugiono 10A/08,97,30,127,Industri
35,Mie Kudus,Jl. Bondowoso 11,4,10,14,Industri
36,Mount Scopus Indonesia.PT,Jl. Pahlawan Trip A-8 Malang,50,26,76,Industri
37,PS. Rejo agung,jl. tenaga utara 1,5,3,8,Industri
38,Rexton Indocuating,Jl. Karya Timur 64,21,3,24,Industri
39,Sima Timbangan,Jl. M. Panjaitan 159,20,0,20,Industri
40,"Sonokeling Tata Jaya, PT.",Jl. Sonokeling 10,7,1,8,Industri
41,Rajawali Jaya,Jl. Werkudoro 17,4,20,24,Industri Makanan
42,"Bronson Prima Industri, PT.",Jl. Tenaga 8,65,108,173,Industri Makanan/ Permen
43,"Kemajuan Industrindo, PT.",Jl. Ciujung 3-5,25,0,25,Industri Mesin
44,"Kemajuan Industrindo, PT.",Jl. Irian Jaya 17,28,0,28,Industri Mesin
45,"Lancar Jaya, CV.",Jl. Tenaga Baru IV/11,48,3,51,Industri Pengolahan
46,"Nitradi Wahyu Cemerlang , PT.",Jl. Simpang L. A. Sucipto 12,20,5,25,Industri Plastik
47,"Nitradi Wahyu Cemerlang, PT.",Jl. S. P. Sudarmo 33,44,2,46,Industri Plastik
48,Ronny Pranata Wangsawijaya,Jl. Tenaga 3,6,22,28,Industri Plastik
49,"Utama Nama, PT",Jl. Raya Bandulan Barat 47,34,52,86,Industri Rokok
50,"Utama Nama, PT",Jl. Raya Bandulan Barat 309,216,417,633,Industri Rokok
51,"Tenaga Baru, PT.",Jl. Simp. Tenaga Selatan 69,28,4,32,Industri/
52,"Wahana Plastindo, PT.",Jl. Tenaga 3,6,22,28,Industri/
53,Surya Asbes,Jl. Mulyosari 17,89,13,102,Industri/ Asbes
54,Lestari Biscuit,Jl. Tenaga 3,10,124,134,Industri/ Biscuit
55,"Madusari, UD.",Jl. Tenaga Utara 9,3,21,24,Industri/ Camilan
56,"Indana, PT./ Inti Daya Guna Aneka Warna",Jl. LA. Sucipto 456,70,32,102,Industri/ Cat
57,"Diamond Elastindo, PT.",Jl. Janti Barat 92,15,26,41,Industri/ Elastik
